Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,Yrs,BA
Aaron Judge,NYY,OF,32,158,559,122,180,36,1,58,144,10,0,133,171,0,2,9,0.322,0.458,0.701,1.159,9,0.322
Shohei Ohtani,LAD,DH,30,159,636,134,197,38,7,54,130,59,4,81,162,0,5,6,0.31,0.39,0.646,1.036,7,0.31
Anthony Santander,BAL,OF,30,155,595,91,140,25,2,44,102,2,0,58,129,0,5,7,0.235,0.308,0.506,0.814,8,0.235
Juan Soto,NYY,OF,26,157,576,128,166,31,4,41,109,7,4,129,119,0,4,4,0.288,0.419,0.569,0.988,7,0.288
Jose Ramirez,CLE,3B,32,158,620,114,173,39,2,39,118,41,7,54,82,0,6,1,0.279,0.335,0.537,0.872,12,0.279
Marcell Ozuna,ATL,DH,33,162,606,96,183,31,0,39,104,1,0,74,170,0,4,3,0.302,0.378,0.546,0.924,12,0.302
Brent Rooker,OAK,OF,29,145,546,82,160,26,2,39,112,11,3,59,177,0,4,5,0.293,0.365,0.562,0.927,5,0.293
Kyle Schwarber,PHI,OF,31,150,573,110,142,22,0,38,104,5,3,106,197,0,8,5,0.248,0.366,0.485,0.851,10,0.248
Gunnar Henderson,BAL,SS,23,159,630,118,177,31,7,37,92,21,4,78,159,0,4,7,0.281,0.364,0.529,0.893,3,0.281
Ketel Marte,ARI,2B,31,136,504,93,147,23,2,36,95,7,1,65,106,0,9,5,0.292,0.372,0.56,0.932,10,0.292
Yordan Alvarez,HOU,OF,27,147,552,88,170,34,2,35,86,6,0,69,95,0,4,10,0.308,0.392,0.567,0.959,6,0.308
Pete Alonso,NYM,1B,29,162,608,91,146,31,0,34,88,3,0,70,172,0,4,13,0.24,0.329,0.459,0.788,6,0.24
Cal Raleigh,SEA,C,27,153,546,73,120,16,0,34,100,6,1,70,176,0,6,6,0.22,0.312,0.436,0.748,4,0.22
Francisco Lindor,NYM,SS,30,152,618,107,169,39,1,33,91,29,4,56,127,0,3,12,0.273,0.344,0.5,0.844,10,0.273
Teoscar Hernandez,LAD,OF,32,154,589,84,160,32,2,33,99,12,3,53,188,0,1,8,0.272,0.339,0.501,0.84,9,0.272
Willy Adames,MIL,SS,29,161,610,93,153,33,0,32,112,21,4,74,173,0,3,1,0.251,0.331,0.462,0.793,7,0.251
Josh Naylor,CLE,1B,27,152,563,84,137,27,0,31,108,6,2,58,105,0,4,7,0.243,0.32,0.456,0.776,6,0.243
Tyler O'Neill,BOS,OF,29,113,411,74,99,18,0,31,61,4,0,53,159,0,2,7,0.241,0.336,0.511,0.847,7,0.241
Eugenio Suarez,ARI,3B,33,158,571,90,146,28,2,30,101,2,1,49,176,0,11,9,0.256,0.319,0.469,0.788,11,0.256
Bryce Harper,PHI,1B,32,145,550,85,157,42,0,30,87,7,4,76,138,1,2,2,0.285,0.373,0.525,0.898,13,0.285
Corey Seager,TEX,SS,30,123,475,68,132,21,0,30,74,1,1,53,96,0,2,3,0.278,0.353,0.512,0.865,10,0.278
Matt Olson,ATL,1B,30,162,600,78,148,37,1,29,98,0,0,71,170,0,5,9,0.247,0.333,0.457,0.79,9,0.247
Manny Machado,SD,3B,32,152,593,77,163,30,0,29,105,11,2,45,124,0,4,1,0.275,0.325,0.472,0.797,13,0.275
Jake Burger,MIA,3B,28,137,535,68,134,23,1,29,76,1,1,31,150,0,4,9,0.25,0.301,0.46,0.761,4,0.25
Shea Langeliers,OAK,C,26,137,482,58,108,18,2,29,80,4,2,41,145,0,6,5,0.224,0.288,0.45,0.738,3,0.224
Rafael Devers,BOS,3B,28,138,525,87,143,34,5,28,83,3,0,67,147,0,6,3,0.272,0.354,0.516,0.87,8,0.272
Salvador Perez,KC,C,34,158,590,58,160,28,0,27,104,0,0,44,129,0,6,11,0.271,0.33,0.456,0.786,13,0.271
Matt Chapman,SF,3B,31,154,575,98,142,39,2,27,78,15,2,64,158,0,2,6,0.247,0.328,0.463,0.791,8,0.247
Giancarlo Stanton,NYY,OF,34,114,417,49,97,20,0,27,72,0,0,38,143,0,2,2,0.233,0.298,0.475,0.773,15,0.233
