Player,Yrs,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA
Jose Iglesias,12,85,270,39,91,16,1,4,26,12,39,6,2,.337
Bobby Witt Jr.,3,161,636,125,211,45,11,32,109,57,106,31,12,.332
Xavier Edwards,2,70,265,39,87,12,5,1,26,33,52,31,4,.328
Vladimir Guerrero Jr.,6,159,616,98,199,44,1,30,103,72,96,2,2,.323
Aaron Judge,9,158,559,122,180,36,1,58,144,133,171,10,0,.322
Christian Yelich,12,73,270,44,85,12,3,11,42,40,58,21,1,.315
Luis Arraez,6,150,637,83,200,32,3,4,46,24,29,9,3,.314
Carlos Correa,10,86,319,55,99,20,2,14,54,40,61,0,0,.310
Shohei Ohtani,7,159,636,134,197,38,7,54,130,81,162,59,4,.310
Yordan Alvarez,6,147,552,88,170,34,2,35,86,69,95,6,0,.308
Victor Robles,8,91,254,44,78,20,0,4,28,21,53,34,2,.307
Marcell Ozuna,12,162,606,96,183,31,0,39,104,74,170,1,0,.302
Ivan Herrera,3,72,229,37,69,12,1,5,27,25,53,5,0,.301
Luis Rengifo,6,78,283,41,85,13,1,6,30,16,44,24,7,.300
Yainer Diaz,3,148,585,70,175,29,3,16,84,24,107,2,0,.299
Jose Altuve,14,153,628,94,185,31,0,20,65,47,119,22,7,.295
Trea Turner,10,121,505,88,149,25,0,21,62,27,98,19,4,.295
Brent Rooker,5,145,546,82,160,26,2,39,112,59,177,11,3,.293
Ketel Marte,10,136,504,93,147,23,2,36,95,65,106,7,1,.292
Steven Kwan,3,122,480,83,140,16,3,14,44,53,51,12,5,.292
Jackson Merrill,1,156,554,77,162,31,6,24,90,29,101,16,3,.292
Randal Grichuk,11,106,254,40,74,20,2,12,46,20,46,0,0,.291
Mookie Betts,11,116,450,75,130,24,5,19,75,61,57,16,2,.289
Kyle Tucker,7,78,277,56,80,13,0,23,49,56,54,11,0,.289
Juan Soto,7,157,576,128,166,31,4,41,109,129,119,7,4,.288
Donovan Solano,11,96,283,31,81,13,0,8,35,22,65,2,1,.286
Bryce Harper,13,145,550,85,157,42,0,30,87,76,138,7,4,.285
Miguel Andujar,8,75,302,31,86,14,1,4,30,13,42,3,2,.285
Jake McCarthy,4,142,442,66,126,13,7,8,56,31,78,25,6,.285
Jarren Duran,4,160,671,111,191,48,14,21,75,54,160,34,7,.285
Jose Miranda,3,121,401,44,114,28,4,9,49,18,66,2,2,.284
Kerry Carpenter,3,87,264,37,75,16,5,18,57,22,75,0,2,.284
Miguel Rojas,11,103,307,41,87,21,0,6,36,23,34,8,2,.283
Rob Refsnyder,9,93,272,32,77,16,1,11,40,28,78,2,2,.283
Seiya Suzuki,3,132,512,74,145,27,6,21,73,63,160,16,6,.283
Juan Yepez,3,62,226,32,64,15,0,6,26,18,42,2,1,.283
Freddie Freeman,15,147,542,81,153,35,2,22,89,78,100,9,2,.282
Luis Garcia Jr.,5,140,500,58,141,25,1,18,70,27,86,22,5,.282
Yandy Diaz,8,145,563,55,158,31,1,14,65,50,95,0,0,.281
William Contreras,5,155,595,99,167,37,2,23,92,78,139,9,2,.281
Gunnar Henderson,3,159,630,118,177,31,7,37,92,78,159,21,4,.281
Jurickson Profar,11,158,564,94,158,29,0,24,85,76,101,10,3,.280
Amed Rosario,8,103,332,29,93,18,3,3,32,9,73,13,5,.280
Connor Wong,4,126,447,54,125,24,1,13,52,28,114,8,7,.280
Alec Bohm,5,143,554,62,155,44,2,15,97,40,86,5,2,.280
Tyler Fitzgerald,2,96,314,53,88,19,2,15,34,22,108,17,4,.280
Masataka Yoshida,2,108,378,45,106,21,0,10,56,27,52,2,0,.280
Byron Buxton,10,102,355,62,99,27,3,18,56,20,99,7,2,.279
Jose Ramirez,12,158,620,114,173,39,2,39,118,54,82,41,7,.279
Lourdes Gurriel Jr.,7,133,513,72,143,22,2,18,75,29,101,7,1,.279
Corey Seager,10,123,475,68,132,21,0,30,74,53,96,1,1,.278
Kevin Newman,7,111,288,41,80,17,1,3,28,15,48,8,1,.278
Brendan Donovan,3,153,587,65,163,34,3,14,73,47,81,5,5,.278
Jake Fraley,6,116,350,44,97,19,2,5,26,26,70,20,5,.277
Fernando Tatis Jr.,5,102,398,64,110,21,1,21,49,32,96,11,3,.276
Jonah Bride,3,71,232,30,64,10,0,11,39,30,55,0,1,.276
Manny Machado,13,152,593,77,163,30,0,29,105,45,124,11,2,.275
